# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Mar 03 13:33:46 PST 2023 [seed=666]
# -seed 666 -overwrite /home/andrew/expmDerivative/code/covid10Mar_285plusNYC.noRandom.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	sampleLoc.clock.rate	glmCoefficients1	glmCoefficients2	glmCoefficients3	c_allTransitions[1]
0	-765.009030320956	-5.417507141293854	-759.5915231796621	0.31901086269083007	2019.8941038914074	22.84641495005166	3.5	0.1	0.8	2.0	105.0
1000	-647.4070464274438	-4.975324288521451	-642.4317221389223	0.31901086269083007	2019.8941038914074	22.84641495005166	3.851346275747852	0.033678516467563195	0.9141071559203939	0.5251771537723677	107.0
2000	-646.5789483416072	-4.924637066100204	-641.654311275507	0.31901086269083007	2019.8941038914074	22.84641495005166	3.8993986037996478	0.045680875620749184	0.7284010966966717	0.41759370012537944	105.0
3000	-649.3324363366072	-4.9537563214881075	-644.3786800151191	0.31901086269083007	2019.8941038914074	22.84641495005166	3.2623702885963914	0.07608172364919494	0.912195421932056	0.3195379869229771	105.0
4000	-649.2907866798352	-4.899715054599324	-644.3910716252358	0.31901086269083007	2019.8941038914074	22.84641495005166	4.2625725031449155	-0.00549420615955625	0.6044298940816165	0.37722357201389267	116.0
5000	-647.263628576759	-4.927091044091403	-642.3365375326675	0.31901086269083007	2019.8941038914074	22.84641495005166	3.933917636680592	0.05530807459506961	0.7151251092957975	0.4606607399373834	109.0
6000	-646.979519856217	-4.902507806477142	-642.0770120497399	0.31901086269083007	2019.8941038914074	22.84641495005166	4.160601952811347	0.02454254423044821	0.7170326165788268	0.12356055904341359	107.0
7000	-648.1134846894487	-4.906107760839583	-643.207376928609	0.31901086269083007	2019.8941038914074	22.84641495005166	4.994599270359167	0.06485815054080692	0.72725262075116	-0.1603184402519677	106.0
8000	-647.6868482058534	-4.940840785749319	-642.7460074201041	0.31901086269083007	2019.8941038914074	22.84641495005166	3.8470872970977936	0.04647498941413615	0.8966209866640068	0.17487148788848514	102.0
9000	-647.3942564440632	-4.966777887228115	-642.4274785568351	0.31901086269083007	2019.8941038914074	22.84641495005166	3.9715838723671237	0.04317709352041381	0.915995041013703	0.4508378765227321	106.0
10000	-647.4067251742781	-4.878904538259189	-642.5278206360189	0.31901086269083007	2019.8941038914074	22.84641495005166	4.322905759032123	0.06335829162210659	0.5801789238702473	0.023607602634912593	107.0
11000	-646.8395765615365	-4.957273831178478	-641.8823027303581	0.31901086269083007	2019.8941038914074	22.84641495005166	3.7637023190310837	0.03986273831285453	0.9086634211343775	0.375333542683782	110.0
12000	-647.0232243149968	-4.892644720096907	-642.1305795948999	0.31901086269083007	2019.8941038914074	22.84641495005166	3.880931366456618	0.044188911862984404	0.6026987539540933	0.29309074102566823	109.0
13000	-646.5033490692136	-4.9052502018498725	-641.5980988673638	0.31901086269083007	2019.8941038914074	22.84641495005166	4.069448686372843	0.03884941539754665	0.7238018300529471	0.1629297952598578	107.0
14000	-648.0177079103395	-4.9816368632876085	-643.0360710470519	0.31901086269083007	2019.8941038914074	22.84641495005166	3.112428241172632	0.04276435082420814	0.9483040174103909	0.5117894848586972	102.0
15000	-647.8212142218073	-4.894498542499354	-642.9267156793079	0.31901086269083007	2019.8941038914074	22.84641495005166	3.7244555199525795	0.09125370035545069	0.6563070677270083	0.16390547479269524	108.0
16000	-646.285008866261	-4.933667667567981	-641.351341198693	0.31901086269083007	2019.8941038914074	22.84641495005166	3.7442857289735936	0.032146864732010665	0.765800496935711	0.4379502119806924	103.0
17000	-648.9745676021624	-4.930891717336456	-644.043675884826	0.31901086269083007	2019.8941038914074	22.84641495005166	3.21563192289195	0.05973926420520845	0.831570665460705	0.2489940902878488	102.0
18000	-647.9880564961306	-4.975575973684201	-643.0124805224465	0.31901086269083007	2019.8941038914074	22.84641495005166	3.107923547026291	0.0033899462691333315	0.7348727141789488	0.757958614531378	102.0
19000	-648.04897653324	-4.919446503117316	-643.1295300301226	0.31901086269083007	2019.8941038914074	22.84641495005166	4.1277308097795755	0.02132936245818999	0.8140073153005241	0.049518113070342665	110.0
20000	-648.3036230498539	-4.90888437830277	-643.3947386715511	0.31901086269083007	2019.8941038914074	22.84641495005166	5.078522311120023	0.030771829727398732	0.7599349585254153	-0.0506936818304618	110.0
21000	-646.6136847931853	-4.910827522684215	-641.702857270501	0.31901086269083007	2019.8941038914074	22.84641495005166	4.234903254141008	0.06196529887008142	0.7169824453245689	0.28046305631086677	105.0
22000	-647.1411719651323	-4.887490104221427	-642.2536818609109	0.31901086269083007	2019.8941038914074	22.84641495005166	4.302349787795954	0.03165777219223467	0.6279271228739988	0.12070218407132594	112.0
23000	-649.6529807959029	-4.902705307661677	-644.7502754882412	0.31901086269083007	2019.8941038914074	22.84641495005166	3.115362059935791	0.014175619655587838	0.5484249271454131	0.4802233668153874	103.0
24000	-648.3103846735279	-4.878051676493745	-643.4323329970341	0.31901086269083007	2019.8941038914074	22.84641495005166	5.1561158490129495	0.09435787597130804	0.5463480672183514	-0.16418484183406937	111.0
